"appid","genre_id"
"1280",122
"1280",11
"1300",122
"1313",122
"1500",31
"1500",5
"1502",5
"1502",31
"1510",31
"1510",5
"1520",31
"1520",5
"1522",5
"1522",31
"1530",31
"1540",31
"1600",5
"1610",5
"1620",5
"1630",5
"1640",5
"1670",5
"1690",5
"1700",144
"1710",144
"1840",45
"1840",83
"1900",5
"1920",144
"1930",144
"2100",122
"2100",144
"2120",144
"2120",122
"2200",122
"2210",122
"2270",122
"2280",64
"2310",122
"2320",122
"2400",122
"2400",31
"2400",144
"2420",122
"2420",31
"2420",144
"2450",122
"2500",122
"2510",122
"2520",32
"2520",31
"2540",32
"2540",31
"2590",122
"2600",122
"2610",122
"2620",122
"2630",122
"2640",122
"2680",122
"2690",5
"2700",11
"2700",5
"2710",122
"2720",122
"2720",31
"2720",5
"2730",122
"2730",5
"2760",144
"2790",32
"2800",5
"2810",5
"2820",122
"2820",11
"2820",5
"2840",11
"2840",5
"2850",11
"2850",5
"2870",122
"2870",11
"2900",5
"2910",5
"2920",5
"2990",15
"3010",15
"3020",122
"3050",15
"3130",5
"3170",144
"3170",5
"3190",144
"3210",122
"3230",5
"3260",113
"3260",32
"3270",122
"3280",122
"3300",32
"3302",32
"3310",32
"3312",32
"3320",32
"3322",32
"3330",32
"3332",32
"3340",32
"3342",32
"3350",32
"3352",32
"3360",32
"3362",32
"3380",32
"3382",32
"3390",32
"3392",32
"3400",32
"3410",32
"3412",32
"3420",32
"3422",32
"3430",32
"3432",32
"3450",32
"3452",32
"3460",32
"3462",32
"3480",32
"3482",32
"3483",32
"3483",44
"3490",32
"3500",32
"3502",32
"3510",32
"3512",32
"3520",32
"3522",32
"3530",32
"3532",32
"3540",32
"3560",32
"3560",5
"3562",32
"3570",32
"3572",32
"3580",32
"3582",32
"3590",5
"3592",5
"3600",32
"3602",32
"3610",32
"3612",32
"3620",122
"3620",32
"3622",122
"3622",32
"3700",122
"3710",122
"3720",5
"3730",122
"3800",122
"3810",122
"3820",122
"3830",122
"3838",122
"3839",122
"3850",122
"3900",5
"3910",5
"3920",144
"3960",5
"3970",122
"3980",5
"3990",5
"4000",32
"4000",31
"4000",11
"4100",32
"4100",5
"4100",31
"4102",32
"4230",15
"4260",15
"4290",15
"4300",122
"4300",31
"4310",122
"4310",31
"4320",122
"4400",5
"4400",11
"4410",5
"4410",11
"4420",144
"4440",144
"4460",11
"4460",5
"4470",144
"4500",122
"4500",144
"4520",122
"4520",5
"4530",122
"4530",5
"4560",122
"4560",5
"4570",5
"4580",5
"4600",31
"4600",113
"4700",5
"4710",5
"4720",122
"4760",5
"4770",5
"4780",5
"4790",15
"4800",5
"4810",5
"4820",5
"4850",5
"4856",5
"4870",5
"4880",5
"4890",5
"4900",32
"4900",31
"4920",122
"4920",31
"4920",5
"6000",122
"6010",113
"6020",122
"6030",122
"6040",113
"6060",122
"6080",122
"6080",113
"6080",15
"6080",11
"6080",5
"6090",122
"6120",122
"6120",31
"6130",122
"6130",31
"6200",5
"6210",5
"6220",122
"6220",15
"6220",11
"6230",15
"6250",122
"6250",5
"6260",122
"6260",5
"6270",15
"6290",122
"6300",113
"6300",144
"6310",122
"6310",113
"6310",144
"6320",144
"6320",113
"6320",122
"6370",122
"6370",44
"6370",16
"6400",122
"6400",5
"6410",122
"6420",31
"6420",11
"6420",5
"6510",122
"6510",113
"6580",122
"6600",32
"6600",31
"6800",122
"6810",122
"6830",5
"6840",122
"6850",122
"6860",122
"6870",122
"6880",122
"6900",122
"6910",122
"6920",122
"6930",122
"6940",122
"6950",122
"6980",122
"7000",122
"7000",113
"7010",122
"7020",122
"7030",122
"7030",113
"7050",122
"7110",144
"7200",15
"7210",113
"7220",113
"7230",113
"7260",144
"7280",144
"7340",32
"7340",31
"7400",32
"7420",31
"7440",32
"7450",32
"7470",32
"7470",11
"7510",49
"7510",106
"7510",122
"7510",113
"7510",144
"7520",144
"7530",5
"7600",5
"7610",5
"7620",5
"7650",5
"7660",5
"7670",122
"7670",144
"7710",122
"7730",5
"7760",5
"7770",5
"7780",5
"7780",11
"7800",122
"7810",62
"7830",5
"7840",15
"7860",122
"7880",5
"7880",11
"7890",5
"7900",11
"7910",11
"7940",122
"7980",122
"7990",15
"7990",62
"8000",122
"8000",113
"8010",5
"8030",122
"8030",113
"8080",122
"8090",122
"8100",122
"8140",122
"8140",113
"8150",122
"8170",122
"8170",5
"8180",122
"8190",122
"8190",113
"8310",113
"8320",113
"8330",32
"8400",32
"8500",122
"8500",16
"8500",144
"8500",5
"8500",44
"8600",15
"8780",15
"8650",15
"8660",15
"8690",15
"8700",15
"8720",15
"8750",32
"8760",15
"8790",15
"8790",11
"8790",62
"8800",5
"8820",5
"8830",62
"8850",122
"8870",122
"8880",144
"8880",5
"8890",144
"8890",5
"8900",144
"8900",5
"8910",144
"8910",5
"8930",5
"8970",31
"8980",122
"8980",144
"8990",122
"8990",144
"9010",122
"9050",122
"9060",122
"9120",122
"9180",122
"9200",122
"9300",122
"9300",5
"9310",5
"9340",122
"9340",5
"9350",5
"9400",15
"9420",5
"9450",5
"9460",122
"9480",122
"9500",122
"9500",113
"9500",31
"9510",31
"9710",122
"9730",11
"9740",113
"9760",122
"9800",122
"9800",113
"9850",11
"9850",5
"9860",122
"9880",16
"9880",144
"9880",44
"9900",16
"9900",144
"9900",44
"9940",122
"9940",113
"9950",122
"9950",113
"9960",113
"9970",122
"9980",32
"10040",122
"10080",122
"10090",122
"10100",113
"10110",113
"10120",122
"10120",32
"10130",122
"10140",62
"10150",122
"10150",113
"10170",122
"10180",122
"10195",122
"10196",122
"10220",122
"10230",113
"10240",113
"10250",11
"10260",11
"10270",144
"10270",5
"10420",62
"10420",11
"10440",122
"10440",113
"10460",122
"10470",122
"10490",122
"10500",5
"10510",122
"10520",62
"10560",62
"10560",11
"10600",5
"10604",5
"10606",5
"10607",5
"10608",5
"10620",5
"10680",122
"10690",11
"10690",62
"10695",122
"10697",122
"11000",144
"11020",15
"11040",113
"11040",144
"11050",113
"11050",32
"11080",113
"11090",113
"11130",113
"11140",113
"11150",113
"11180",113
"11180",32
"11190",113
"11190",144
"11200",122
"11220",122
"11230",32
"11230",31
"11230",15
"11240",122
"11240",31
"11240",5
"11250",11
"11250",5
"11260",11
"11260",5
"11270",32
"11280",122
"11280",32
"11280",31
"11340",122
"11340",31
"11370",113
"11370",31
"11390",122
"11390",15
"11390",11
"11450",144
"11470",144
"11480",5
"11500",15
"11550",122
"11610",122
"11610",44
"11610",16
"11610",144
"11910",32
"11920",32
"12130",122
"12140",122
"12150",122
"12200",122
"12200",113
"12210",122
"12210",113
"12220",122
"12300",62
"12310",113
"12310",32
"12310",144
"12320",122
"12320",144
"12330",122
"12360",15
"12364",15
"12364",11
"12390",122
"12400",62
"12420",5
"12430",32
"12440",113
"12450",113
"12460",5
"12470",5
"12480",5
"12500",32
"12510",5
"12520",15
"12530",122
"12530",113
"12530",5
"12540",32
"12560",11
"12590",15
"12600",15
"12640",144
"12650",32
"12650",11
"12660",32
"12660",11
"12670",11
"12690",11
"12690",62
"12710",144
"12720",122
"12810",144
"12820",144
"12890",122
"12900",31
"12910",31
"13000",32
"13000",31
"13010",31
"13010",32
"13140",122
"13500",122
"13500",113
"13510",122
"13520",122
"13530",122
"13530",113
"13540",122
"13560",122
"13570",122
"13580",122
"13600",122
"13600",113
"13620",122
"13630",122
"13640",122
"15000",122
"15060",122
"15080",122
"15080",113
"15100",122
"15100",113
"15120",122
"15130",122
"15130",113
"15160",11
"15170",5
"15190",122
"15200",11
"15210",11
"15220",122
"15220",11
"15240",11
"15270",122
"15320",11
"15290",113
"15300",122
"15330",5
"15350",32
"15370",5
"15380",5
"15390",122
"15400",5
"15400",31
"15500",32
"15500",31
"15510",32
"15510",31
"15520",122
"15520",31
"15520",62
"15522",122
"15522",31
"15560",122
"15560",31
"15560",62
"15620",5
"15700",113
"15710",113
"15720",113
"15730",113
"15740",122
"15740",113
"15740",5
"15750",122
"15750",113
"15750",5
"15800",31
"15800",32
"15810",32
"15900",32
"15902",32
"15910",32
"15912",32
"15920",32
"15922",32
"15930",32
"15932",32
"15940",32
"15952",32
"15960",32
"15962",32
"15970",32
"15972",32
"15980",32
"15990",32
"16000",32
"16002",32
"16020",32
"16022",32
"16030",32
"16032",32
"16040",32
"16042",32
"16060",32
"16062",32
"16090",32
"16100",32
"16100",11
"16110",32
"16110",11
"16120",32
"16120",11
"16130",32
"16130",11
"16140",32
"16140",11
"16150",32
"16150",11
"16160",32
"16160",11
"16170",32
"16170",11
"16180",32
"16180",11
"16190",32
"16190",11
"16200",32
"16200",11
"16210",32
"16210",11
"16300",31
"16300",32
"16420",122
"16450",122
"16465",122
"16500",32
"16500",31
"16510",32
"16510",31
"16600",31
"16600",15
"16600",62
"16610",15
"16610",62
"16610",31
"16620",31
"16620",15
"16620",62
"16630",15
"16630",31
"16630",62
"16700",5
"16710",122
"16710",113
"16720",122
"16730",122
"16810",5
"16860",5
"16861",5
"16862",5
"16863",5
"16866",5
"16867",5
"16868",5
"16870",5
"16900",64
"16900",31
"16900",37
"16900",9
"17020",122
"17020",44
"17020",16
"17020",144
"17080",122
"17080",44
"17100",5
"17100",11
"17110",11
"17110",5
"17120",5
"17120",11
"17140",144
"17140",5
"17180",5
"17330",122
"17390",122
"17390",113
"17390",32
"17390",144
"17390",11
"17390",5
"17410",122
"17410",113
"17420",144
"17420",16
"17440",11
"17460",122
"17460",144
"17470",122
"17470",113
"17480",122
"17480",5
"17500",122
"17500",113
"17500",32
"17500",31
"17500",44
"17510",31
"17520",122
"17520",44
"17530",122
"17530",31
"17530",15
"17550",122
"17570",122
"17570",31
"17570",44
"17580",122
"17580",44
"17580",31
"17700",122
"17710",122
"17710",5
"17730",122
"17730",62
"17740",122
"17740",44
"17740",5
"17750",122
"17750",113
"17750",32
"17750",44
"17750",31
"17800",144
"17810",144
"18000",113
"18000",144
"18010",113
"18010",144
"18020",113
"18020",144
"18030",113
"18030",144
"18040",122
"18040",31
"18040",144
"18050",122
"18050",31
"18050",144
"18070",122
"18070",113
"18070",144
"18080",122
"18080",113
"18080",144
"18110",122
"18110",31
"18120",122
"18120",32
"18120",31
"18120",5
"18300",32
"18300",31
"18400",32
"18400",5
"18407",32
"18407",5
"18408",32
"18408",5
"18420",32
"18420",5
"18430",32
"18430",5
"18440",32
"18440",5
"18470",5
"18480",113
"18500",31
"18500",5
"18508",5
"18508",31
"18509",5
"18509",31
"18510",5
"18510",31
"18520",5
"18520",31
"18521",5
"18521",31
"18522",31
"18522",5
"18523",5
"18523",31
"18600",31
"18600",5
"18610",5
"18700",122
"18700",31
"18710",122
"18710",31
"18800",122
"18800",31
"18800",15
"18800",62
"18820",122
"18820",31
"18820",15
"18820",62
"19000",113
"19020",32
"19020",144
"19030",122
"19030",113
"19060",122
"19060",113
"19080",122
"19080",113
"19080",32
"19200",122
"19200",31
"19210",122
"19210",31
"19320",122
"19320",31
"19320",32
"19500",113
"19500",31
"19510",31
"19510",113
"19680",122
"19680",113
"19800",122
"19810",122
"19830",122
"19900",122
"19980",122
"19980",113
"20200",32
"20200",31
"20200",62
"20500",122
"20510",122
"20510",144
"20530",122
"20540",5
"20550",122
"20550",5
"20570",5
"20700",122
"20700",31
"20700",5
"20710",122
"20710",31
"20710",5
"20720",5
"20720",122
"20720",31
"20730",5
"20730",122
"20730",31
"20820",122
"20820",31
"20828",122
"20828",31
"20900",122
"20900",144
"20902",122
"20902",144
"20920",144
"21000",122
"21000",113
"21010",122
"21020",122
"21030",122
"21070",122
"21080",122
"21080",113
"21090",122
"21100",122
"21130",122
"21130",113
"21300",31
"21300",32
"21310",31
"21310",32
"21400",5
"21400",122
"21400",31
"21410",5
"21410",122
"21410",31
"21500",15
"21510",15
"21620",32
"21650",32
"21650",5
"21660",122
"21670",122
"21670",113
"21680",122
"21690",122
"21690",113
"21730",113
"21760",5
"21780",15
"21800",5
